
#
# Start of IEEE IAB registry data
#
40D8550D7	Avant Technologies
0050C2A0E	ENGICAM s.r.l.
0050C247A	Efficient Channel Coding
0050C27A9	DELTA TAU DATA SYSTEMS, INC.
0050C2980	Digital Payment Technologies
0050C23B6	Arecont Vision
0050C2080	AIM
0050C2953	Grupo Epelsa S.L.
0050C2974	EMAC, Inc.
40D855183	EMAC, Inc.
0050C2360	Digital Receiver Technology
40D8551D0	Webeasy BV
40D8551E2	ELNEC s.r.o.
40D85519F	Patria Aviation Oy
40D8551C4	QED Advanced Systems Limited
40D8551B6	Magic Systems
40D8551C1	Triamec Motion AG
40D8551AA	Broachlink Technology Co.,Limited
40D8551A7	ENTEC Electric & Electronic CO., LTD
40D8551A8	Multiobrabotka
40D8551AE	Autonomous Solutions, Inc
40D855199	PRESSOL Schmiergeraete GmbH
40D85519E	Thirdwayv Inc.
40D85519B	Northern Star Technologies
40D85519C	Parris Service Corporation
40D85518F	Beat Sensing co. , ltd.
40D8551A0	Futaba Corporation
40D85517F	Telvent
40D855181	eROCCA
40D85515D	Actronic Technologies
40D855168	OPASCA Systems GmbH
40D855170	ICS Eletronics
40D85513D	Perm Scientific-Industrial Instrument Making Company JSC
40D855142	Tetracore, Inc.
40D85513E	hanatech
40D85513C	shanghai Anjian Information technology co. , ltd.
40D855143	Tokyo Drawing Ltd.
40D85514F	TDS Software Solutions Pty Ltd
40D855159	PLATINUM GmbH
40D85511A	Sicon srl
40D855120	ObjectFab GmbH
40D85512B	Mango DSP, Inc.
40D855117	RCS Energy Management Limited
40D855127	LIGHTSTAR
40D855139	WOW System
40D855137	GDE Polska
40D85512F	Private
40D8550EE	Siegmar Zander HuSWare
40D8550ED	IntelliDesign Pty Ltd
40D8550EA	A-Z-E
40D8550E8	HEITEC AG
40D8550FD	MONOGRAM technologies ltd
40D855107	Smith Meter, Inc
40D8550FC	eumig industrie-tv GmbH
40D8550D6	deskontrol electronics
40D8550DE	VPG
40D8550DC	NVS Technologies Inc
40D8550D4	Mitsubishi Heavy Industries, Ltd.
40D8550C4	Inspired Systems
40D8550A6	Alumbra Produtos Elétricos e Eletrônicos Ltda
40D8550A8	Baudisch Electronic GmbH
40D8550B5	DATA SHARING CONSULTING
40D8550B0	Micrologic
40D8550AF	EnVerv Inc.
40D8550AE	GD Mission Systems
40D8550AD	Space Micro
40D85509B	Tokyo Denki Gijutsu Kogyo
40D8550B2	Ever Trend Technology Development Limited
40D85508F	Excelitas
40D855091	KDT
40D855082	ard sa
40D855095	Heart Force Medical
40D85507E	TESCOM CORPORATION
40D855073	Diamond Technologies, Inc
40D85508A	Leder Elektronik Design
40D85506E	C-COM Satellite Systems Inc.
40D85506B	BRS Sistemas Eletrônicos
40D855069	Smartcom-Bulgaria AD
40D855057	Tammermatic Group Oy
40D855053	Amantys Ltd
40D85505E	inoage GmbH
40D855046	Circuitlink Pty Ltd
40D855048	GD Mission Systems
40D85506D	BroadSoft, INC
40D855029	Depro Electronique
40D855013	Grande Vitesse Systems
40D855015	BITMILL srl
40D855042	Mango Communicaitons Inc.
40D85503C	Computer System Co.,Ltd
40D855040	GHL Systems Berhad
40D85501F	Sitep Italia Spa
40D85501A	MEGGITT DEFENSE SYSTEMS INC.
40D855033	Ermes Elettronica s.r.l.
40D855038	Special Measurements Labs LLC
40D855003	AlphaNavigation coltd
0050C2FED	LOGISOL Kft.
0050C2FEC	First System Technology Co., Ltd.
0050C2FEA	Brunel GmbH Section Communications
0050C2FE4	RTT Mobile Interpretation
40D85500D	HuNS
40D85500E	Brightwell Dispensers
0050C2FFA	Nupoint Systems Inc.
40D855006	Bactest Limited
0050C2FCB	Propagation Systems Limited
0050C2FBF	MYLOGIC
0050C2FBE	senTec Elektronik GmbH
0050C2FD8	Ease Inc.
0050C2FC5	Sakura Seiki Co.,Ltd.
0050C2FB4	MC-monitoring SA
0050C2FB2	Preston Industries dba PolyScience
0050C2FAE	ATI Automação Telecomunicações e Informática Ltda
0050C2FAF	Vremya-CH JSC
0050C2FAD	Finishing Brands
0050C2F9E	Matsusada Precision Inc.
0050C2F92	CONET Solutions GmbH
0050C2F93	Baudisch Electronic GmbH
0050C2FAA	YJSYSTEM
0050C2F6D	Pro Design Electronic GmbH
0050C2F6E	Smith Meter, Inc.
0050C2F89	CSA Engineering AG
0050C2F31	Ruetz Technologies GmbH
0050C2F50	Moritex Corporation
0050C2F4B	Supranet
0050C2F3D	Project service S.a.s
0050C2F3C	Vemco Sp. z o. o.
0050C2F37	Rosslare Enterprises Limited
0050C2F39	InForce Computing, Inc.
0050C2F5C	DSP DESIGN LTD
0050C2F5A	Sentry 360 Security
0050C2F62	EMAC, Inc.
0050C2F5E	Y-cam Solutions Ltd
0050C2F41	FairyDevices Inc.
0050C2F46	Reason Tecnologia S.A.
0050C2F56	Monsoon Solutions, Inc.
0050C2F25	Samway Electronic SRL
0050C2F09	Wheatstone Corporation
0050C2F18	Vitec Multimedia
0050C2F17	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C2F15	Sascal Displays Ltd
0050C2F0B	Treehaven Technologies, Inc.
0050C2F2B	Bio Guard component & technologies
0050C2EDB	BELIK S.P.R.L.
0050C2EDA	Joint Stock Company "Svyaz Inginiring M"
0050C2ED9	Plasmatronics pty ltd
0050C2EF8	HCL Technologies
0050C2EB2	Otaki Electric Corporation
0050C2EB3	AR RF/Microwave Instrumentation
0050C2ECF	TAIWAN HIPLUS CORPORATION
0050C2ED1	Arcontia Technology AB
0050C2EA7	Saia-Burgess Controls AG
0050C2EB8	dspnor
0050C2EBE	Global Tecnologia LTDA.
0050C2E8D	SystemAdvanced Co,Ltd
0050C2E8C	Epec Oy
0050C2E8B	RPA Electronic Solutions, Inc.
0050C2E7D	AEL Microsystems Limited
0050C2E7E	Swareflex GmbH
0050C2EA1	TEX COMPUTER SRL
0050C2EA4	head
0050C2E9C	SPARQ systems
0050C2E54	Arcos Technologies LTD
0050C2E52	Famas System S.p.A.
0050C2E4E	Institute For Information Industry
0050C2E73	ACS Motion Control Ltd.
0050C2E69	Netmaker
0050C2E63	Prima sistemi
0050C2E6D	Allerta Inc
0050C2E6E	Power-One Italia S.p.A
0050C2E6B	Sika Technology AG
0050C2E79	MCS MICRONIC Computer Systeme GmbH
0050C2E5C	MCOPIA Co., Ltd
0050C2E55	TTi Ltd
0050C2E60	HORIZON.INC
0050C2E3B	Nanosolution Inc.
0050C2E39	Telemetrics Inc.
0050C2E38	Aesir Copenhagen
0050C2E30	Goennheimer Elektronic GmbH
0050C2E45	Stichting Sunrise
0050C2E27	CONTROL SYSTEMS Srl
0050C2E26	Cinetix s.r.l.
0050C2E15	IHI Scube Co.,Ltd
0050C2E0F	Trentino Systems
0050C2E22	Michael Riedel Transformatorenbau GmbH
0050C2E1E	Lo-Q plc
0050C2E28	Teplovodokhran
0050C2E10	Radinetworks Co., Ltd
0050C2DF8	Tommotek (WA) Pty Ltd.
0050C2DF2	Ocean Sonics
0050C2DD8	Leonardo UK Ltd
0050C2DD0	IDC Solutions Pty Ltd
0050C2DBB	Esensors, Inc.
0050C2DDD	A&A GENERAL SRL
0050C2DD9	Metraware
0050C2DCA	Tele Data Control
0050C2DC4	Keith & Koep GmbH
0050C2DBE	WITHSYSTEM Co.,Ltd
0050C2DC0	Security Services Group (SSG)
0050C2DA7	Capton
0050C2DA5	megatec electronic GmbH
0050C2DA3	GD Mission Systems
0050C2DA6	Manitowoc Ice
0050C2D90	Dumps Electronic
0050C2D92	Manz
0050C2D8E	LSD Science&Technology Co.,Ltd.
0050C2D8D	CS-Instruments
0050C2D94	Software Effect Enterprises, Inc
0050C2DB0	IMAGO Technologies GmbH
0050C2DA0	Precision Remotes
0050C2D9F	BitWise Controls
0050C2D98	Rong Shun Xuan Corp.
0050C2DB3	LAUDA DR. R. WOBSER GMBH & CO. KG
0050C2D87	Electrolight Shivuk (1994) Ltd.
0050C2D7E	LYNX Technik AG
0050C2D68	HiSpeed Data, Inc.
0050C2D62	EMAC, Inc.
0050C2D63	DATAREGIS S.A.
0050C2D5C	Ibetor S.L.
0050C2D59	BUANCO SYSTEM A/S
0050C2D71	EMAC, Inc.
0050C2D7C	Microcubs Systems Pvt Ltd
0050C2D2D	Cadi Scientific Pte Ltd
0050C2D27	Fr.Sauter AG
0050C2D26	RCH GROUP
0050C2D4C	DALOG Diagnosesysteme GmbH
0050C2D53	Telemerkki Oy
0050C2D34	GAON TECH corp.
0050C2D4F	SECOM GmbH
0050C2D0F	Saia-Burgess Controls AG
0050C2D0B	CODACO ELECTRONIC s.r.o.
0050C2D0A	Airpoint Co., Ltd.
0050C2D14	SAET I.S.
0050C2D10	Rosslare Enterprises Ltd.
0050C2D12	Tokyo Weld Co.,Ltd.
0050C2D03	Peekel Instruments B.V.
0050C2CF7	Armour Home Electronics LTD
0050C2CF6	Epec Oy
0050C2D1C	Recon Dynamics, LLC
0050C2D20	7+ Kft
0050C2CFD	AIRFOLC,INC.
0050C2CD4	SCHRAML GmbH
0050C2CD5	Arcos Technologies Ltd.
0050C2CE7	Echola Systems
0050C2CCA	SANMINA SHENZHEN
0050C2CC2	ConectaIP Tecnologia S.L.
0050C2CE6	APLICA TECHNOLOGIES
0050C2CE9	Private
0050C2CDB	RUTTER INC
0050C2CDA	taskit GmbH
0050C2CAB	SAE IT-systems GmbH & Co. KG
0050C2CA9	Intelligent Devices
0050C2CB1	ZK Celltest Inc
0050C2CAF	Fr. Sauter AG
0050C2C9B	Sm electronic co.
0050C2C75	Rovsing A/S
0050C2C5F	Icon Time Systems
0050C2C5B	MICRO TECHNICA
0050C2C97	MSTRONIC CO., LTD.
0050C2C94	ISIS ENGINEERING, S.A.
0050C2C6D	Deansoft CO., Ltd.
0050C2C6A	ELECTRONICA KELD
0050C2C6F	MSB Elektronik und Geraetebau GmbH
0050C2C71	Sequoia Technology Group Ltd
0050C2C64	Pal Software Service Co.,Ltd.
0050C2C89	Creative Micro Design
0050C2C83	Gronic Systems GmbH
0050C2C85	Peek Traffic Corporation
0050C2C84	DOMIS
0050C2C91	Media Technologies Ltd.
0050C2C3F	ANXeBusiness Corporation
0050C2C48	Cytek Media Systems, INC.
0050C2C28	ELREHA GmbH
0050C2BF2	Saia-Burgess Controls AG
0050C2BF6	NOLAM EMBEDDED SYSTEMS
0050C2BF7	Phytec Messtechnik GmbH
0050C2BF4	Monarch Innovative Technologies Pvt Ltd
0050C2C18	Linuxstamp Designs, LLC
0050C2C03	Volumatic Limited.
0050C2BBD	ITS Telecom
0050C2BBF	Phytec Messtechnik GmbH
0050C2BC8	AGWTech Ltd
0050C2BEE	Private
0050C2BEA	Daeyoung inc.
0050C2BE6	Docobo Ltd
0050C2BD7	SLAT
0050C2BD0	EDC wifi
0050C2BCF	Epiko, elektronski sistemi d.o.o.
0050C2BE0	Phaedrus Limited
0050C2BE2	Convergent Bioscience Ltd.
0050C2BDE	Evo-Teh d.o.o.
0050C2BDC	SS Systems LLC
0050C2B9B	Telventy Energia S.A.
0050C2B84	Innovate Software Solutions Pvt Ltd
0050C2BA1	Transtechnik GmbH & Co.KG
0050C2BA2	Logical Tools s.r.l.
0050C2B90	NAONWORKS Co., Ltd
0050C2B94	Tritech International Ltd
0050C2B8F	Gentec
0050C2B8A	MicroPoise
0050C2B89	ENTEC Electric & Electronic Co., LTD.
0050C2B87	EMAC, Inc.
0050C2BAD	Prediktor AS
0050C2BAB	iDeal Teknoloji Bilisim Cozumleri A.S.
0050C2B7E	NARETRENDS
0050C2B59	SLICAN sp. z o.o.
0050C2B57	Phytec Messtechnik GmbH
0050C2B55	SANYO ELECTRONIC INDUSTRIES CO.,LTD
0050C2B64	FEW Bauer GmbH
0050C2B65	Peek Traffic Corporation
0050C2B6D	Sound Metrics Corp
0050C2B21	Phytron-Elektronik GmbH
0050C2B22	FarSite Communications Limited
0050C2B27	ATEME
0050C2B24	Teledyne Defence Limited
0050C2B45	Efftronics Systems (P) Ltd
0050C2B3D	AMS
0050C2B40	Tecnint HTE SRL
0050C2B2F	IntelliVision Technologies, Corp
0050C2B36	CRDE
0050C2B0A	Indutherm Giesstechnologie GmbH
0050C2B12	CM Elektronik GmbH
0050C2B02	MASTER CO LTD
0050C2B10	Marine Entertainment Systems Ltd
0050C2AF3	Palomar Products, Inc.
0050C2AE5	ABS Gesellschaft f. Automatisierung, Bildverarbeitung und Software mbH
0050C2AE2	Power Medical Interventions
0050C2AEB	UMLogics Corporation
0050C2AD5	Mighty Lube Systematic Lubrication, Inc.
0050C2AE1	EVERCARE
0050C2ADA	Essepie Srl
0050C2AFD	HomeScenario, Inc.
0050C2AFA	Absolute Fire Solutions Inc.
0050C2AC8	Palladio Systeme GmbH
0050C2AEA	EMBEDIA
0050C2AA2	ELPA sas
0050C2AA1	ELREM ELECTRONIC AG
0050C2A91	Ceron Tech Co.,LTD
0050C2A90	S.two Corporation
0050C2AA8	Nexans Cabling Solutions
0050C2AAD	Update Systems Inc.
0050C2AAA	Flexible Picture Systems
0050C2AA6	Bassett Electronic Systems ltd
0050C2ABB	Volantic AB
0050C2A8C	Redwire, LLC
0050C2A87	Littlemore Scientific
0050C2A88	S-SYS
0050C2A89	CA Traffic Ltd
0050C2A6A	Infocrossing
0050C2A7C	Pneu-Logic Corporation
0050C2A73	KYOEI ENGINEERING Co.,Ltd.
0050C2A5D	MECC CO., LTD.
0050C2A58	EPL
0050C2A54	Diamond Point International (Europe) Ltd
0050C2A2F	DragonFly Scientific LLC
0050C2A33	Fuji Firmware
0050C2A31	Coolit Systems, Inc.
0050C2A41	Meiryo Denshi Corp.
0050C2A3B	IPcontrols GmbH
0050C2A4C	VasoNova, Inc.
0050C2A53	Quality & Design
0050C29E5	Halliburton Far East Pte Ltd
0050C29E1	Enreduce Energy Control AB
0050C29ED	Picell B.V.
0050C29E9	Ciemme Sistemi Spa
0050C2A19	Icon Time Systems
0050C29F1	IDEAS s.r.l.
0050C2A08	LabJack Corporation
0050C2A16	Baudisch Electronic GmbH
0050C2A04	TP Radio
0050C29B9	ISA - Intelligent Sensing Anywhere, S.A.
0050C29B7	St. Michael Strategies
0050C29B4	EUKREA ELECTROMATIQUE SARL
0050C29A8	DOMIS SA
0050C29C6	Protronic GmbH
0050C2970	Tsuji Electronics Co.,Ltd
0050C298D	Mecos AG
0050C298A	MEV Limited
0050C2988	Pantel International
0050C2983	Bogart Engineering
0050C297C	Creacon Technologies B.V.
0050C2992	IDT Sound Processing Corporation
0050C297B	SMARTQUANTUM SA
0050C2998	Phytec Messtechnik GmbH
0050C295A	TechnoAP
0050C294A	TruMedia Measurement Ltd.
0050C294B	Piller engineering Ltd.
0050C2946	MEGWARE Computer GmbH
0050C2944	Wireonair A/S
0050C295D	full electronic system
0050C2966	PCM Industries
0050C2914	IO-Connect
0050C2911	Vapor Rail
0050C292E	Goanna Technologies Pty Ltd
0050C2929	Flight Deck Resources
0050C2931	Korea Telecom Internet Solutions (KTIS)
0050C2934	Xilar Corp.
0050C2932	SMAVIS Inc.
0050C2936	Margaritis Engineering
0050C2915	Verint Systems Ltd.
0050C291C	MangoDSP
0050C28F1	Detection Technologies Ltd.
0050C2903	EcoAxis Systems Pvt. Ltd.
0050C2900	Magor Communications Corp
0050C28FE	Cross Country Systems AB
0050C28F3	Curtis Door Systems Inc
0050C2904	R2Sonic, LLC
0050C28FC	Symetrics Industries
0050C28F8	RMSD LTD
0050C290D	EVK DI Kerschhaggl GmbH
0050C28BF	ARISTO Graphic Systeme GmbH & Co. KG
0050C28BC	Honeywell Sensotec
0050C28BD	Matrix Switch Corporation
0050C28BB	smtag international ag
0050C28B8	DSS Networks, Inc.
0050C28C9	A+S Aktuatorik und Sensorik GmbH
0050C28D5	Peek Traffic Corp
0050C28D9	Industrial Control and Communication Limited
0050C28D4	Internet Protocolo Lógica SL
0050C28D3	IFAM GmbH
0050C28B9	ACD Elektronik GmbH
0050C28B7	Calnex Solutions plc
0050C28E7	MKT Systemtechnik
0050C28DA	DOCUTEMP, INC
0050C28E9	UNIDATA
0050C28C3	Byte Paradigm
0050C2891	Admiral Secure Products, Ltd.
0050C288F	Keynote SIGOS GmbH
0050C2879	MILESYS
0050C2875	Phytec Messtechnik GmbH
0050C2877	Motion Analysis Corp
0050C28B1	RingCube Technologies, Inc.
0050C28AE	DESARROLLO DE SISTEMAS INTEGRADOS DE CONTROL S.A.
0050C28AF	Xelerated
0050C2881	InnoTrans Communications, Inc.
0050C289D	Systemtechnik GmbH
0050C287D	AT&T Government Solutions
0050C2720	Colorado Engineering Inc.
0050C2868	Aethon, Inc.
0050C2866	Saia Burgess Controls AG
0050C2852	eInfochips Ltd.
0050C284C	Performance Motion Devices
0050C2830	CompuShop Services LLC
0050C282D	Elmec, Inc.
0050C2848	DASA ROBOT Co., Ltd.
0050C2826	HEWI Heinrich Wilke GmbH
0050C2823	Robot Visual Systems GmbH
0050C2821	MISCO Refractometer
0050C2837	ID-KARTA s.r.o.
0050C281A	InfoGLOBAL
0050C27E2	DIGITROL LTD
0050C27E4	Meta Vision Systems Ltd.
0050C27DD	LS Elektronik AB
0050C2803	dB Broadcast Limited
0050C27EE	NH Research
0050C2813	Intelleflex Corporation
0050C280D	Acube Systems s.r.l.
0050C27C1	Primary Integration Encorp LLC
0050C27BE	Powerlinx, Inc.
0050C27CD	Precision MicroControl Corporation
0050C27D6	International Mining Technologies
0050C27B0	IMP Telekom
0050C27D4	WR Systems, Ltd.
0050C2793	Enertex Bayern GmbH
0050C2790	GE Security-Kampro
0050C278C	Giga-tronics, Inc.
0050C278F	ELMAR electronic
0050C278E	GLOBALCOM ENGINEERING SRL
0050C27AE	Global Tel-Link
0050C278D	Telairity
0050C279F	ZAO NPC
0050C2787	Austco Marketing & Service (USA) ltd.
0050C27A5	Quantum Medical Imaging
0050C2767	EID
0050C274C	Saia-Burgess Controls AG
0050C276D	Mobilisme
0050C275D	Fluid Analytics, Inc.
0050C2714	T.E.AM., S. A.
0050C272B	Sequestered Solutions
0050C272F	Priority Electronics Ltd
0050C273D	cryptiris
0050C271E	ASKI Industrie Elektronik Ges.m.b.H.
0050C2736	Nika Ltd
0050C2712	Pasan SA
0050C2710	Wharton Electronics Ltd
0050C26F6	AV SatCom AS
0050C2705	Hauch & Bach ApS
0050C26F8	RV Technology Limited
0050C26F1	ITS Telecom
0050C26ED	Sechan Electronics, Inc.
0050C270A	Efficient Channel Coding
0050C26B6	CommoDaS GmbH
0050C26E2	Phytec Messtechnik GmbH
0050C26CB	Stream Processors
0050C26D6	ADL Electronics Ltd.
0050C26D1	Schnick-Schnack-Systems GmbH
0050C26BF	Optoplan as
0050C26DE	Laser Tools & Technics Corp.
0050C26E4	MangoDSP
0050C2687	Access Specialties, Inc
0050C2685	Datamars SA
0050C2683	MEGGITT Safety System
0050C26A1	PRICOL LIMITED
0050C269D	Dvation.co.,Ltd
0050C26A2	Cadi Scientific Pte Ltd
0050C26A4	TELETASK
0050C26AF	Nanoradio AB
0050C268B	SIMTEK INC.
0050C268C	Isochron Inc
0050C2693	Tech Comm, Inc.
0050C269A	StoreTech Limited
0050C26A6	Victory Concept Industries Ltd.
0050C2651	STAER SPA
0050C2650	Liquid Breaker, LLC
0050C264F	MA Lighting Technology GmbH
0050C264E	Northern Power
0050C264B	MangoDSP
0050C264A	CPqD
0050C2670	Naim Audio
0050C2673	Ferrari electronic AG
0050C265F	Invocon, Inc.
0050C267B	Sparton Electronics
0050C267E	SAIA Burgess Controls AG
0050C2617	NARINET, INC.
0050C2627	JungleSystem Co., Ltd.
0050C2622	2N TELEKOMUNIKACE a.s.
0050C262E	TDM Ingénierie
0050C262C	AirMatrix, Inc.
0050C2629	MacDonald Humfrey (Products) Ltd
0050C261C	TestPro Systems, Inc.
0050C2623	SAFELINE SL
0050C2639	Qstreams Networks Inc.
0050C2642	Stanton Technologies Sdn Bhd
0050C263C	dPict Imaging, Inc.
0050C25FC	FilmLight Limited
0050C25FD	MEG Electronic Inc.
0050C25FF	Gazelle Monitoring Systems
0050C25FA	LEA d.o.o.
0050C25F4	TeamProjects BV
0050C2608	Silex Industrial Automation Ltd.
0050C25F1	Technomarine JSC
0050C25C5	Radiant Imaging, Inc.
0050C25C4	ProMik GmbH
0050C25E4	Buyang Electronics Industrial Co., Ltd.
0050C2593	Broadlight
0050C2591	Grosvenor Technology Ltd
0050C258F	XoIP Systems Pty Ltd
0050C25B9	Taiwan Video & Monitor
0050C25AA	Transenna AB
0050C259A	MultiTrode Pty Ltd
0050C259F	ads-tec GmbH
0050C25B2	Syntronic AB
0050C25B1	Rosta Ltd
0050C2574	Ingeniería AlmudÃ­ S.L.
0050C2573	DATAMICRO Co., Ltd.
0050C2568	GeoFocus, LLC
0050C2565	WORKPOWER TECNOLOGIA ELETRONICA LTDA-EPP
0050C255F	Moog Broad Reach
0050C257E	Digital Way
0050C2575	SOLYSTIC
0050C2563	ORTRAT, S.L.
0050C2564	Last Mile Gear
0050C257F	Orderite, Inc.
0050C2562	C21 Systems Limited
0050C2538	EtherTek Circuits
0050C2534	Hyundai J. Comm
0050C2535	MMS Servis s.r.o.
0050C253D	Digital communications Technologies
0050C2558	Bedo Elektronik GmbH
0050C2541	WAVES SYSTEM
0050C254F	Valtronic SA
0050C250F	Polystar Instruments AB
0050C250B	Logic Beach Inc
0050C2509	Hillcrest Laboratories, Inc.
0050C251B	Beta Lasermike Ltd
0050C252A	OMNITRONICS PTY LTD
0050C2529	Phytec Messtechnik GmbH
0050C2526	AC SYSTEMS, s.r.o.
0050C2516	SOWA ELECTRIC CO., LTD.
0050C252D	Smartcom-Bulgaria AD
0050C24F4	O2RUN
0050C24F1	Packet Island Inc.
0050C24E4	Embigence GmbH
0050C2502	Criterion Systems Limited
0050C24FB	BES Technology Group
0050C24FA	Cambridge Technology, Inc.
0050C24F5	Monroe Electronics, Inc.
0050C24EB	Mandozzi Elettronica SA
0050C24C1	Movaz Networks, Inc.
0050C24BD	Argon ST
0050C24BE	Digital Dynamics, Inc.
0050C24AF	Orbis Oy
0050C24AE	ads-tec GmbH
0050C24BA	Mistletoe Technologies
0050C24C6	Rubin Ltd.
0050C24C4	Black Diamond Video, Inc.
0050C24C3	Quantum3D, Inc.
0050C24CB	Verint Systems Ltd
0050C24D5	SEBA Design Pty Ltd
0050C248A	Mobile Matrix, Inc.
0050C248B	ads-tec GmbH
0050C248C	UNITON AG
0050C247C	AUCONET GmbH
0050C249C	Envisacor Technologies Inc.
0050C248E	Teledyne Tekmar
0050C248F	DENGYOSHA co.,LTD.
0050C249F	GCS, Inc
0050C2312	Dese Technologies SL
0050C24A0	Advanced technologies & Engineering (pty) Ltd
0050C24A3	Protium Technologies, Inc.
0050C24A4	IEEE P1609 WG
0050C2494	Ultimate Technology, Inc.
0050C247F	BRIT Inc.
0050C2483	SES
0050C2476	Ascon S.p.a.
0050C2478	Metafix Inc.
0050C2477	SEV Tidsystem AB
0050C2472	KOP Ltd
0050C246F	Neuroware
0050C2463	Codem Systems, Inc.
0050C245C	Deister Electronic GmbH
0050C245B	Matra Electronique
0050C2457	Danbridge
0050C2442	Pico Computing, Inc.
0050C2444	Offshore Systems Ltd
0050C2445	MICRONIC s.r.o.
0050C2449	BLEILE DATENTECHNIK GmbH
0050C2441	Sammi Information Systems Co.,Ltd
0050C243F	ARVOO Imaging Products BV
0050C2438	Telecom Protection Technologies Limited
0050C2431	Octatron, Inc.
0050C242E	Oelmann Elektronik GmbH
0050C240F	BIR,INC.
0050C2411	Multimessage Systems Ltd.
0050C240B	Center VOSPI JSC
0050C240A	Contec Steuerungstechnik & Automation GmbH
0050C240D	Afonics Fibreoptics Ltd
0050C2425	Pinnacle Technology
0050C241F	Avionica, Inc
0050C23FB	nVent, Schroff GmbH
0050C2420	Boundless Technologies
0050C2424	Metrolab Technology SA
0050C2407	AIE Etudes
0050C2400	SmartMotor AS
0050C2402	Numeron Sp. z o.o.
0050C2415	SensoTech GmbH
0050C23D5	Fluke Biomedical, Radiation Management Services
0050C23D2	Adilec Enginyeria SL
0050C23D7	TTC TELEKOMUNIKACE Ltd
0050C23DD	ELMIC GmbH
0050C23DA	M5 Data Limited
0050C23E4	CUE, a.s.
0050C23DF	BiODE Inc.
0050C23DB	Osmetech Inc.
0050C23ED	The Board Room Inc.
0050C23E6	CRDE
0050C23CE	Ward Leonard Electric Company
0050C23C1	MicroTek Electronics, Inc.
